Ajuste Lineal Gauss
x,y son las coordenas del pixel analizado en el archivo 'hmi.m_45s.magnetogram.subregion_x1y1.fits'. best_b y best_a son los parametros de maximo likelihood para el modelo lineal
x,y,best_likelihood,best_c,best_d,best_sigma,best_mu
1,2,-3997.7598542,18.3838995,-0.0022526,7.4357304,62.4556964
3,3,-4793.9459271,41.6869244,-0.0550751,1.8993804,106.0208741
5,4,-38188.3068857,60.1789907,-0.1126411,13.4086871,107.8957478
7,5,-66384.0679160,18.4021552,0.0066343,20.5745839,117.3270755
9,6,-15299.3644369,46.0725400,-0.1183798,11.2788732,56.7768511
11,7,-3066.0311934,18.0169056,-0.0065417,8.3348639,117.2491342
13,8,-6290.3218313,14.9543043,0.0089273,-2.5084595,101.1124298
15,9,-11403.5788497,22.1915966,0.0266503,1.8589488,108.6761127
17,10,-40912.9959638,51.8629259,-0.0748534,6.8160693,110.7532936
19,11,-21115.1075490,42.2017194,-0.0435871,9.0927123,102.7373734
21,12,-5336.0034249,40.1260576,-0.0126184,1.0311886,156.3511653
23,13,-6874.8957762,25.3121592,0.0126472,6.8423755,86.4412521
25,14,-11814.5557861,32.9412526,-0.0387376,-2.0824364,91.5910789
27,15,-10740.1854755,19.0341194,-0.0279599,10.4819272,99.5870556
29,16,-4573.9844720,16.3004921,-0.0454667,-7.0090448,84.1987139
31,17,-3778.8772615,11.7197742,-0.0436901,6.2081420,101.9964493
33,18,-8603.7172800,-3.1727752,-0.0203106,-6.2267109,92.6043481
35,19,-11424.6738639,-3.8574882,-0.0330609,4.3925380,108.6777733
37,20,-14331.6253227,0.8805975,-0.0448604,5.1146088,86.2735795
39,21,-25597.5167234,-0.2162000,-0.0301801,0.4532591,115.9643494
