Ajuste Lineal
x,y son las coordenas del pixel analizado en el archivo 'hmi.m_45s.magnetogram.subregion_x1y1.fits'. best_b y best_a son los parametros de maximo likelihood para el modelo lineal
x,y,best_likelihood,best_a,best_b
1,2,-5317.8672469,20.5347151,0.0027965
3,3,-4725.6097137,39.7389443,-0.0482455
5,4,-28950.2709017,74.4431820,-0.1734295
7,5,-27400.8855893,65.7287431,-0.1744863
9,6,-14121.9806370,50.8522057,-0.1437804
11,7,-3169.7207354,26.3806964,-0.0337423
13,8,-6352.2279292,16.2623765,-0.0044973
15,9,-11675.7906116,24.8184616,0.0090793
17,10,-38171.8077048,40.3153554,0.0033069
19,11,-14638.4930120,60.7786847,-0.0992907
21,12,-5351.5122421,44.5975823,-0.0278051
23,13,-6141.2083065,31.5015095,-0.0041819
25,14,-10583.0854098,41.6055578,-0.0750570
27,15,-8581.8607176,21.8326273,-0.0311125
29,16,-5139.7022077,15.1672427,-0.0338251
31,17,-3795.5543885,16.7135626,-0.0603397
33,18,-8184.9655034,7.4652383,-0.0614646
35,19,-11217.4568481,4.6699771,-0.0596457
37,20,-13419.7779632,6.6923492,-0.0607374
39,21,-30965.5031581,1.1392090,-0.0753058
